pen,Age,Cohort,rep,Diet,Challenge,VL
B4,24,GOS_Mock,V6,GOS,Mock,792.585208
B4,24,GOS_Mock,V7,GOS,Mock,747.481437
B12,24,GOS_Mock,V1,GOS,Mock,404.052808
B12,24,GOS_Mock,V2,GOS,Mock,524.589294
B12,24,GOS_Mock,V3,GOS,Mock,814.087681
B12,24,GOS_Mock,V4,GOS,Mock,742.610208
B12,24,GOS_Mock,V5,GOS,Mock,719.542477
B12,24,GOS_Mock,V6,GOS,Mock,848.910245
B12,24,GOS_Mock,V7,GOS,Mock,715.666373
B10,24,GOS_Mock,V1,GOS,Mock,484.034694
B10,24,GOS_Mock,V2,GOS,Mock,585.365482
B10,24,GOS_Mock,V3,GOS,Mock,577.821148
B10,24,GOS_Mock,V4,GOS,Mock,686.505233
B10,24,GOS_Mock,V5,GOS,Mock,517.939022
B10,24,GOS_Mock,V6,GOS,Mock,641.669409
B6,24,GOS_Mock,V1,GOS,Mock,613.555218
B6,24,GOS_Mock,V2,GOS,Mock,710.167924
B6,24,GOS_Mock,V3,GOS,Mock,641.61138
B6,24,GOS_Mock,V4,GOS,Mock,704.049459
B6,24,GOS_Mock,V5,GOS,Mock,678.84494
B1,24,GOS_Mock,V1,GOS,Mock,347.6214
B1,24,GOS_Mock,V2,GOS,Mock,666.82567
B1,24,GOS_Mock,V3,GOS,Mock,655.436448
B1,24,GOS_Mock,V4,GOS,Mock,584.230182
B3,24,GOS_Mock,V1,GOS,Mock,553.929367
B3,24,GOS_Mock,V2,GOS,Mock,249.513744
B3,24,GOS_Mock,V3,GOS,Mock,433.790538
B3,24,GOS_Mock,V4,GOS,Mock,557.696313
B2,24,GOS_Mock,V1,GOS,Mock,614.288197
B2,24,GOS_Mock,V2,GOS,Mock,750.3555
B2,24,GOS_Mock,V3,GOS,Mock,807.815613
B3,24,GOS_SE,V1,GOS,SE,473.781196
B3,24,GOS_SE,V2,GOS,SE,496.667871
B3,24,GOS_SE,V3,GOS,SE,524.642086
B3,24,GOS_SE,V4,GOS,SE,360.190079
B3,24,GOS_SE,V5,GOS,SE,378.591823
B3,24,GOS_SE,V6,GOS,SE,626.22069
B8,24,GOS_SE,V1,GOS,SE,473.781196
B8,24,GOS_SE,V2,GOS,SE,496.667871
B8,24,GOS_SE,V3,GOS,SE,524.642086
B8,24,GOS_SE,V4,GOS,SE,360.190079
B8,24,GOS_SE,V5,GOS,SE,378.591823
B8,24,GOS_SE,V6,GOS,SE,626.22069
B5,24,GOS_SE,V1,GOS,SE,716.0042
B5,24,GOS_SE,V2,GOS,SE,741.2207
B5,24,GOS_SE,V3,GOS,SE,731.0044
B5,24,GOS_SE,V4,GOS,SE,703.6602
B5,24,GOS_SE,V5,GOS,SE,693.4908
B9,24,GOS_SE,V1,GOS,SE,747.7602
B9,24,GOS_SE,V2,GOS,SE,605.6842
B9,24,GOS_SE,V3,GOS,SE,425.1576
B9,24,GOS_SE,V4,GOS,SE,648.4221
B9,24,GOS_SE,V5,GOS,SE,453.3645
B7,24,GOS_SE,V1,GOS,SE,693.666585
B7,24,GOS_SE,V2,GOS,SE,508.339223
B7,24,GOS_SE,V3,GOS,SE,720.917308
B7,24,GOS_SE,V4,GOS,SE,623.720908
B6,24,GOS_SE,V1,GOS,SE,919.060276
B6,24,GOS_SE,V2,GOS,SE,882.814435
B6,24,GOS_SE,V3,GOS,SE,509.572903
B11,24,GOS_SE,V1,GOS,SE,564.177854
B11,24,GOS_SE,V2,GOS,SE,744.414322
B11,24,GOS_SE,V3,GOS,SE,653.322795
B10,24,ctl_Mock,V1,ctl,Mock,640.603169
B10,24,ctl_Mock,V2,ctl,Mock,657.820207
B10,24,ctl_Mock,V3,ctl,Mock,701.995825
B10,24,ctl_Mock,V4,ctl,Mock,637.688611
B10,24,ctl_Mock,V5,ctl,Mock,651.300327
B10,24,ctl_Mock,V6,ctl,Mock,713.915738
B10,24,ctl_Mock,V7,ctl,Mock,660.504231
B10,24,ctl_Mock,V8,ctl,Mock,564.428562
B10,24,ctl_Mock,V9,ctl,Mock,595.712776
B10,24,ctl_Mock,V10,ctl,Mock,566.859717
B3,24,ctl_Mock,V1,ctl,Mock,625.039112
B3,24,ctl_Mock,V2,ctl,Mock,545.704804
B3,24,ctl_Mock,v3,ctl,Mock,475.188551
B3,24,ctl_Mock,V4,ctl,Mock,576.128945
B3,24,ctl_Mock,V5,ctl,Mock,560.554825
B3,24,ctl_Mock,V6,ctl,Mock,571.624999
B3,24,ctl_Mock,V7,ctl,Mock,572.959454
B3,24,ctl_Mock,V8,ctl,Mock,637.587103
B3,24,ctl_Mock,V9,ctl,Mock,515.889097
B12,24,ctl_Mock,V1,ctl,Mock,471.447757
B12,24,ctl_Mock,V2,ctl,Mock,455.42268
B12,24,ctl_Mock,V3,ctl,Mock,472.396256
B12,24,ctl_Mock,V4,ctl,Mock,393.960425
B12,24,ctl_Mock,V5,ctl,Mock,488.413505
B12,24,ctl_Mock,V6,ctl,Mock,455.085888
B12,24,ctl_Mock,V7,ctl,Mock,506.27681
B12,24,ctl_Mock,V8,ctl,Mock,457.106456
B12,24,ctl_Mock,V9,ctl,Mock,483.809696
B4,24,ctl_Mock,V1,ctl,Mock,630.91219
B4,24,ctl_Mock,V2,ctl,Mock,548.382797
B4,24,ctl_Mock,v3,ctl,Mock,632.763985
